Unnamed: 0,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,repay_fail
1688,480556,610944,10000.0,10000.0,9975.0,36 months,7.51,311.1,7 years,MORTGAGE,24000.0,Not Verified,Feb-10,Fully Paid,debt_consolidation,781xx,TX,10.8,0.0,Dec-94,3.0,,15.0,0.0,663.0,1.70%,21.0,11257.73308,11229.59,10000.0,1257.73,Mar-13,72.79,,Mar-13,0
16900,834073,1043876,14000.0,14000.0,14000.0,36 months,7.9,438.07,2 years,RENT,28800.0,Source Verified,Nov-11,Fully Paid,credit_card,921xx,CA,18.67,0.0,Sep-03,1.0,,4.0,0.0,6020.0,23%,9.0,15773.12257,15773.12,14000.0,1773.12,Jan-15,5.95,,Dec-14,0
4811,563389,724985,24250.0,24250.0,23727.4981,60 months,11.49,533.2,2 years,RENT,119976.0,Verified,Aug-10,Fully Paid,wedding,210xx,MD,5.24,0.0,Jun-98,0.0,,7.0,0.0,5041.0,17.30%,15.0,31981.49997,31225.88,24250.0,7731.5,Jul-15,1659.84,,Mar-16,0
30437,148763,148757,7500.0,7500.0,1249.997451,36 months,11.22,246.33,< 1 year,RENT,20000.0,Not Verified,Nov-07,Does not meet the credit policy. Status:Charged Off,debt_consolidation,460xx,IN,5.46,0.0,May-04,7.0,0.0,8.0,0.0,4310.0,50.70%,10.0,738.72,123.0,533.38,205.34,Feb-08,246.33,Dec-08,Jun-16,1
35021,847552,1059058,1200.0,1200.0,1200.0,36 months,19.29,44.17,2 years,RENT,34560.0,Not Verified,Aug-11,Charged Off,other,891xx,NV,8.65,0.0,Jul-01,1.0,53.0,3.0,0.0,11238.0,99.50%,9.0,96.96,96.96,24.87,19.29,Sep-11,44.17,,Feb-12,1
37706,450469,554079,15000.0,15000.0,14988.66695,36 months,12.18,499.5,1 year,OWN,62000.0,Not Verified,Nov-09,Fully Paid,credit_card,200xx,DC,20.69,0.0,Aug-89,2.0,44.0,9.0,0.0,126.0,2.20%,37.0,17981.93941,17967.0,15000.0,2981.94,Nov-12,516.8,,Apr-16,0
13388,720543,915012,5600.0,5600.0,5600.0,36 months,11.11,183.63,1 year,OWN,35000.0,Source Verified,Apr-11,Fully Paid,debt_consolidation,860xx,AZ,24.99,0.0,Oct-02,1.0,51.0,9.0,0.0,6908.0,67.10%,18.0,6564.831951,6564.83,5600.0,964.83,Sep-13,1442.13,,Oct-13,0
9620,509852,658226,4750.0,4750.0,4739.486615,36 months,12.73,159.44,6 years,RENT,13806.0,Source Verified,May-10,Fully Paid,educational,971xx,OR,11.04,0.0,Oct-02,0.0,47.0,2.0,0.0,182.0,18.20%,7.0,5740.426682,5726.32,4750.0,990.43,May-13,182.35,,May-13,0
23453,368469,383039,8000.0,8000.0,7675.0,36 months,11.14,262.43,10+ years,MORTGAGE,52000.0,Not Verified,Sep-09,Fully Paid,debt_consolidation,624xx,IL,19.06,0.0,May-80,5.0,,14.0,0.0,2477.0,18.20%,55.0,9447.963693,9064.16,8000.0,1447.96,Oct-12,264.93,,Oct-12,0
22268,669219,855670,4000.0,4000.0,4000.0,36 months,13.43,135.61,7 years,MORTGAGE,53712.0,Not Verified,Feb-11,Fully Paid,debt_consolidation,844xx,UT,17.25,0.0,Dec-98,1.0,38.0,17.0,0.0,8478.0,39.80%,29.0,4769.789606,4769.79,4000.0,769.79,Feb-13,1660.98,,Jan-14,0
20729,627011,803445,10000.0,10000.0,9425.0,36 months,9.62,320.9,7 years,RENT,62322.0,Source Verified,Dec-10,Fully Paid,credit_card,951xx,CA,21.28,0.0,Sep-95,0.0,76.0,8.0,0.0,23367.0,79.30%,23.0,11552.26002,10888.01,10000.0,1552.26,Dec-13,337.38,,Dec-13,0
18594,451741,556845,11000.0,11000.0,10974.94681,36 months,14.61,379.23,10+ years,RENT,45000.0,Not Verified,Nov-09,Fully Paid,debt_consolidation,951xx,CA,12.0,0.0,Feb-86,0.0,24.0,8.0,0.0,9311.0,40.50%,15.0,13652.09888,13615.98,11000.0,2652.1,Nov-12,394.23,,Oct-12,0
34784,647166,828006,15000.0,15000.0,14975.0,60 months,10.36,321.37,3 years,MORTGAGE,60000.0,Not Verified,Jan-11,Fully Paid,home_improvement,448xx,OH,15.58,0.0,May-01,1.0,,12.0,0.0,10788.0,55.30%,27.0,19003.75829,18972.09,15000.0,4003.76,Nov-14,4563.86,,Jun-16,0
33146,1019989,1248741,5000.0,5000.0,5000.0,36 months,8.9,158.77,3 years,RENT,36400.0,Not Verified,Nov-11,Fully Paid,debt_consolidation,802xx,CO,15.99,0.0,Oct-01,2.0,,6.0,0.0,6681.0,61.70%,16.0,5652.915474,5652.92,5000.0,652.92,Feb-14,1690.94,,May-15,0
31073,642781,822682,1950.0,1950.0,1450.0,36 months,9.99,62.92,< 1 year,MORTGAGE,100128.0,Not Verified,Dec-10,Charged Off,credit_card,895xx,NV,13.1,0.0,Dec-97,0.0,,8.0,0.0,137112.0,58.10%,27.0,496.6,369.12,188.61,62.43,May-11,62.92,,Oct-11,1
26701,626989,803414,2100.0,2100.0,2050.0,60 months,14.83,49.78,10+ years,RENT,45000.0,Source Verified,Dec-10,Charged Off,other,922xx,CA,14.11,1.0,Apr-02,3.0,17.0,7.0,0.0,3641.0,79.20%,19.0,514.61,502.37,175.39,222.7,Sep-11,65.84,,Jan-12,1
23102,823400,1031964,10800.0,10800.0,10800.0,60 months,20.3,287.94,7 years,MORTGAGE,95000.0,Source Verified,Nov-11,Charged Off,debt_consolidation,553xx,MN,4.07,0.0,Mar-00,3.0,,14.0,0.0,7878.0,58.40%,29.0,1146.8,1146.8,429.9,716.9,Apr-12,287.94,,Jun-16,1
11053,812407,1019563,11200.0,11200.0,11200.0,60 months,21.74,307.68,10+ years,RENT,67000.0,Source Verified,Jul-11,Charged Off,debt_consolidation,100xx,NY,6.3,1.0,Aug-95,2.0,17.0,12.0,1.0,7952.0,39.60%,25.0,815.31,815.31,210.87,402.83,Sep-11,307.68,,Jun-16,1
22183,220023,219944,1850.0,1850.0,1575.0,36 months,7.12,57.23,4 years,RENT,35000.0,Not Verified,Jan-08,Fully Paid,other,523xx,IA,11.59,0.0,Sep-91,0.0,0.0,9.0,0.0,6035.0,19%,47.0,2053.046429,1747.86,1850.0,203.05,Sep-10,3.53,,Aug-10,0
