actual_default,default_probability,approval_decision,expected_loss,final_interest_rate,requested_loan_amount,annual_income,safe_loan_amount,approved_loan_amount
0,0.2574875390419594,Approve,12.874376952097972,21.874376952097972,3000.0,39996.0,12944.231937130646,3000.0
0,0.30980481063617005,Manual Review,15.490240531808503,24.490240531808503,9475.0,75000.0,20173.88420801353,9475.0
0,0.26431118295078687,Approve,13.215559147539343,22.215559147539345,10000.0,58000.0,18286.410745178433,10000.0
0,0.44985208499661206,Manual Review,22.492604249830602,31.492604249830602,20000.0,48000.0,8891.778684095652,8891.778684095652
1,0.5751874436230109,Reject,28.759372181150546,35.0,5000.0,15000.0,2173.1983058067167,2173.1983058067167
0,0.2590438280493078,Approve,12.95219140246539,21.952191402465388,2000.0,30000.0,9650.814436055249,2000.0
0,0.2831208665843552,Approve,14.15604332921776,23.15604332921776,10000.0,78000.0,22958.257420778922,10000.0
0,0.28211320187727806,Approve,14.105660093863904,23.105660093863904,7000.0,65000.0,19200.216899673684,7000.0
0,0.18566222658794979,Approve,9.283111329397489,18.28311132939749,1800.0,35000.0,15709.39085429388,1800.0
0,0.7133911874645026,Reject,35.66955937322513,35.0,20000.0,48000.0,5607.008784621962,5607.008784621962
0,0.33061187988173346,Manual Review,16.530593994086672,25.530593994086672,35000.0,80000.0,20164.529663912912,20164.529663912912
1,0.5447026385734491,Manual Review,27.235131928672455,35.0,15000.0,99000.0,15145.83218938071,15000.0
1,0.4448546236942368,Manual Review,22.24273118471184,31.24273118471184,4200.0,27852.0,5217.415264864564,4200.0
0,0.4063608708961364,Manual Review,20.31804354480682,29.31804354480682,12000.0,46500.0,9535.819968151276,9535.819968151276
1,0.6563530265210941,Reject,32.8176513260547,35.0,12000.0,28000.0,3554.9884194487604,3554.9884194487604
0,0.510265791276257,Manual Review,25.51328956381285,34.51328956381285,3000.0,47055.0,7684.695425822381,3000.0
0,0.626065006975742,Reject,31.3032503487871,35.0,12000.0,48000.0,6389.095871735677,6389.095871735677
1,0.6933675867133592,Reject,34.66837933566796,35.0,10000.0,56000.0,6730.420542759391,6730.420542759391
0,0.3254222325458477,Manual Review,16.271111627292385,25.271111627292385,11500.0,55000.0,14084.194014098026,11500.0
0,0.33813676904468626,Manual Review,16.906838452234314,25.906838452234314,3500.0,81000.0,19962.238205188958,3500.0
1,0.6518380713391448,Reject,32.59190356695724,35.0,30000.0,93468.0,11949.256152791591,11949.256152791591
1,0.297410680879524,Approve,14.8705340439762,23.8705340439762,3500.0,26400.0,7397.137402502502,3500.0
1,0.4847883620404568,Manual Review,24.23941810202284,33.23941810202284,1400.0,19200.0,3300.397915087089,1400.0
0,0.5051336216824833,Manual Review,25.256681084124168,34.25668108412417,24000.0,107000.0,17652.036736153463,17652.036736153463
0,0.5853838369452123,Reject,29.26919184726062,35.0,15000.0,44712.0,6365.036334193893,6365.036334193893
0,0.7839621523423966,Reject,39.19810761711983,35.0,9500.0,50400.0,5357.390096533836,5357.390096533836
0,0.48790280955261023,Manual Review,24.395140477630513,33.39514047763051,17400.0,100000.0,17079.846034427686,17079.846034427686
0,0.5762664230891453,Reject,28.813321154457267,35.0,15250.0,45500.0,6579.692219767624,6579.692219767624
0,0.3099309888474363,Manual Review,15.496549442371816,24.496549442371816,3175.0,28800.0,7743.617709527843,3175.0
0,0.7033452929553767,Reject,35.16726464776884,35.0,10000.0,55200.0,6540.157652024111,6540.157652024111
0,0.6022366519792223,Reject,30.111832598961115,35.0,22000.0,119228.12,16497.915126036278,16497.915126036278
1,0.3840044317213142,Manual Review,19.20022158606571,28.20022158606571,1200.0,34000.0,7378.355044952106,1200.0
0,0.39100148065238444,Manual Review,19.55007403261922,28.55007403261922,12000.0,68500.0,14599.200473124178,12000.0
